Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,28
Absentee by Mail,ICC-Absentee by Mail - 6,2
Advance Voting,AV-Mauney Srvc Building ICP 1 - 0,2019
Advance Voting,AV-Mauney Srvc Building ICP 2 - 0,1405
Election Day,ED-Tesnatee ICP 1 - 0,195
Election Day,ED-White Creek ICP 1 - 0,348
Election Day,ED-Robertstown-Helen ICP 1 - 0,157
Election Day,ED-Blue Ridge ICP 1 - 0,189
Election Day,ED-Shoal Creek ICP 1 - 0,430
Election Day,ED-Town Creek ICP 1 - 0,255
Election Day,ED-Mossy Creek ICP 1 - 0,620
Election Day,ED-Mt Yonah ICP 1 - 0,549
Election Day,ED-Blue Creek ICP 1 - 0,344
Election Day,ED-Nacoochee ICP 1 - 0,297
Provisional,ICC-Provisional - 1,1
