Container,Batch Name,Number of Ballots
Advance Voting,AV-Precinct on Main ICP 2 - 0,1293
Advance Voting,AV-Precinct on Main ICP 1 - 0,288
Advance Voting,AV-Dearing Comm Center ICP 1 - 0,383
Election Day,ED-NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 1 - 0,1109
Election Day,ED-NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 2 - 0,249
Election Day,ED-Dearing-Fort Creek ICP 1 - 0,414
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 6,24
Absentee by Mail,ICC-Absentee by Mail - 2,15
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 1,29
