Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,16
Advance Voting,AV-Elections Office ICP 2 - 0,1349
Advance Voting,AV-Elections Office ICP 1 - 0,1350
Election Day,ED-Rabun County ICP 1 - 0,418
Election Day,ED-Rabun County ICP 2 - 0,418
Absentee by Mail,ICC-Absentee by Mail - 6,26
Election Day,ICC-Election Day - 1,50
Election Day,ICC-Election Day - 2,50
Election Day,ICC-Election Day - 3,50
Election Day,ICC-Election Day - 4,25
Election Day,ICC-Election Day - 5,25
Election Day,ICC-Election Day - 6,25
Election Day,ICC-Election Day - 7,25
Election Day,ICC-Election Day - 8,25
Election Day,ICC-Election Day - 9,25
Election Day,ICC-Election Day - 10,25
Election Day,ICC-Election Day - 11,25
Election Day,ICC-Election Day - 12,25
Election Day,ICC-Election Day - 13,25
Election Day,ICC-Election Day - 14,25
Election Day,ICC-Election Day - 15,25
Election Day,ICC-Election Day - 16,25
Election Day,ICC-Election Day - 17,25
Election Day,ICC-Election Day - 18,25
Election Day,ICC-Election Day - 19,25
Election Day,ICC-Election Day - 20,25
Election Day,ICC-Election Day - 21,25
Election Day,ICC-Election Day - 22,30
Election Day,ICC-Election Day - 23,48
Election Day,ICC-Election Day - 24,58
