Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,25
Absentee by Mail,Absentee By Mail ICC - 2,25
Absentee by Mail,Absentee By Mail ICC - 3,25
Absentee by Mail,Absentee By Mail ICC - 4,21
Advance Voting,AV-Elections Office ICP 1 - 0,3574
Election Day,ED-Central ICP 1 - 0,399
Election Day,ED-Jerger-Scott ICP 1 - 0,505
Election Day,ED-Boston ICP 1 - 0,219
Election Day,ED-Gatlin Creek ICP 1 - 0,253
Election Day,ED-Coolidge-Merrillville ICP 1 - 0,236
Election Day,ED-New Covenant ICP 1 - 0,282
Election Day,ED-Remington Esc ICP 1 - 0,232
Election Day,ED-Meigs ICP 1 - 0,125
Election Day,ED-Douglass ICP 1 - 0,224
Election Day,ED-Metcalfe ICP 1 - 0,51
Election Day,ED-Pavo-Patten ICP 1 - 0,158
Election Day,ED-Resource Center ICP 1 - 0,136
Election Day,ED-Fire Station 2 ICP 1 - 0,232
Election Day,ED-Ochlocknee ICP 1 - 0,163
Election Day,ED-Little Ochlocknee Baptist ICP 1 - 0,169
Election Day,ED-Barwick ICP 1 - 0,108
Absentee by Mail,Absentee By Mail ICC - 5,16
Election Day,ED-Harper ICP 1 - 0,224
Absentee by Mail,Absentee By Mail ICC - 6,1
Provisional,Provisional ICC - 1,2
