Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2558
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,1
Absentee by Mail,ICC-Absentee by Mail - 5,14
Absentee by Mail,ICC-Absentee by Mail - 6,4
Absentee by Mail,ICC-Absentee by Mail - 7,1
Absentee by Mail,ICC-Absentee by Mail - 8,1
Absentee by Mail,ICC-Absentee by Mail - 9,2
Absentee by Mail,ICC-Absentee by Mail - 10,1
Absentee by Mail,ICC-Absentee by Mail - 11,1
Absentee by Mail,ICC-Absentee by Mail - 12,1
Absentee by Mail,ICC-Absentee by Mail - 13,1
Absentee by Mail,ICC-Absentee by Mail - 14,2
Absentee by Mail,ICC-Absentee by Mail - 15,1
Absentee by Mail,ICC-Absentee by Mail - 16,1
Absentee by Mail,ICC-Absentee by Mail - 17,1
Election Day,ED-Rec Center ICP 1 - 0,361
Election Day,ED-Altamaha ICP 1 - 0,327
Election Day,ED-Empire ICP 1 - 0,396
Election Day,ED-Odum ICP 1 - 0,474
Election Day,ED-Red Hill ICP 1 - 0,367
Election Day,ED-Gardi ICP 1 - 0,218
Election Day,ED-Screven ICP 1 - 0,412
