Container,Batch Name,Number of Ballots
Advance Voting,AV-County Govt Office ICP 1 - 0,329
Election Day,ED-Robinson Rec Ctr ICP 1 - 0,394
Absentee by Mail,ICC-Absentee by Mail - 1,1
Absentee by Mail,ICC-Absentee by Mail - 2,5
Absentee by Mail,ICC-Absentee by Mail - 4,1
Absentee by Mail,ICC-Absentee by Mail - 3,1
Absentee by Mail,ICC-Absentee by Mail - 8,3
Absentee by Mail,ICC-Absentee by Mail - 7,1
Absentee by Mail,ICC-Absentee by Mail - 6,1
Absentee by Mail,ICC-Absentee by Mail - 10,6
Absentee by Mail,ICC-Absentee by Mail - 5,1
Absentee by Mail,ICC-Absentee by Mail - 9,1
Absentee by Mail,ICC-Absentee by Mail - 13,1
