Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,1
Advance Voting,AV-Elections Office ICP 2 - 0,183
Advance Voting,AV-Elections Office ICP 3 - 0,1613
Advance Voting,AV-Elections Office ICP 1 - 0,1386
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,13
Election Day,ED-Union Point ICP 1 - 0,346
Election Day,"ED-Siloam, White Plains ICP 1 - 0",293
Election Day,ED-Greensboro ICP 1 - 0,616
Election Day,ED-Old Salem ICP 1 - 0,1581
