Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2889
Election Day,ED-Pine Mountain Valley ICP 1 - 0,271
Election Day,ED-Skinner ICP 1 - 0,220
Election Day,ED-Lower 19th ICP 1 - 0,573
Election Day,ED-Ellerslie ICP 1 - 0,860
Election Day,ED-Cataula ICP 1 - 0,534
Election Day,ED-Mulberry Grove ICP 1 - 0,580
Election Day,ED-Whitesville ICP 1 - 0,326
Election Day,ED-Goodman ICP 1 - 0,363
Election Day,ED-Valley Plains ICP 1 - 0,202
Election Day,ED-Upper 19th ICP 1 - 0,377
Election Day,ED-Waverly Hall ICP 1 - 0,594
Election Day,ED-Hamilton ICP 1 - 0,369
Absentee by Mail,ICC-Absentee by Mail - 1,8
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,23
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 6,22
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 8,26
Absentee by Mail,ICC-Absentee by Mail - 9,6
Provisional,ICC-Provisional - 1,15
Provisional,ICC-Provisional - 2,1
