Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 3,28
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Advance Voting,AV-Location 1 ICP 1 - 0,1541
Advance Voting,AV-Elections Office ICP 1 - 0,2106
Election Day,ED-Fish Creek ICP 1 - 0,442
Election Day,ED-Rockmart ICP 1 - 0,675
Election Day,ED-Lake Creek ICP 1 - 0,460
Election Day,ED-Blooming Grove ICP 1 - 0,229
Election Day,ED-Camp Antioch ICP 1 - 0,307
Election Day,ED-Cedartown ICP 1 - 0,649
Election Day,ED-Aragon ICP 1 - 0,401
