Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,42
Absentee by Mail,ICC-Absentee by Mail - 4,48
Absentee by Mail,ICC-Absentee by Mail - 3,49
Absentee by Mail,ICC-Absentee by Mail - 5,18
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 6,13
Absentee by Mail,ICC-Absentee by Mail - 7,16
Advance Voting,AV-Location 1 ICP 1 - 0,1733
Advance Voting,AV-Location 2 ICP 1 - 0,761
Advance Voting,AV-Elections Office ICP 1 - 0,4461
Absentee by Mail,ICC-Absentee by Mail - 8,2
Election Day,ED-Chulio ICP 1 - 0,276
Election Day,ED-Floyd Springs ICP 1 - 0,378
Election Day,ED-Riverside (N Rome) ICP 1 - 0,402
Election Day,ED-Lindale ICP 1 - 0,715
Election Day,ED-Glenwood ICP 1 - 0,600
Election Day,ED-Everett Springs ICP 1 - 0,113
Election Day,ED-South Floyd ICP 1 - 0,494
Election Day,ED-South Rome ICP 1 - 0,226
Election Day,ED-East Rome ICP 1 - 0,847
Election Day,ED-Cave Spring ICP 1 - 0,381
Election Day,ED-Etowah ICP 1 - 0,1069
Election Day,ED-Howell ICP 1 - 0,361
Election Day,ED-Foster's Mill ICP 1 - 0,249
Election Day,ED-Town Rome ICP 1 - 0,425
Election Day,ED-Garden Lakes ICP 1 - 0,662
Election Day,ED-New Armuchee ICP 2 - 0,161
Election Day,ED-New Armuchee ICP 1 - 0,329
Election Day,ED-Coosa (NC) ICP 1 - 0,316
Election Day,ED-Shannon ICP 1 - 0,716
Election Day,ED-Alto Park ICP 1 - 0,1063
Provisional,ICC-Provisional - 1,2
