Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2296
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,40
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Election Day,ED-AG Center ICP 1 - 0,255
Election Day,ED-Thompson ICP 1 - 0,116
Absentee by Mail,ICC-Absentee by Mail - 5,2
Election Day,ED-Andersonville ICP 1 - 0,107
Election Day,ED-Rec Dept ICP 1 - 0,265
Election Day,ED-Browns Mill ICP 1 - 0,201
Election Day,ED-Plains ICP 1 - 0,240
Election Day,ED-JROTC ICP 1 - 0,414
Election Day,ED-Leslie ICP 1 - 0,366
Election Day,ED-Rees Park ICP 1 - 0,300
Election Day,ED-Concord ICP 1 - 0,103
Election Day,ED-Airport ICP 1 - 0,323
Absentee by Mail,ICC-Absentee by Mail - 6,7
