Container,Batch Name,Number of Ballots
Advance Voting,AV-Town ICP 2 - 0,2175
Advance Voting,AV-Town ICP 1 - 0,6381
Advance Voting,AV-Downs  ICP 2 - 0,923
Advance Voting,AV-Downs ICP 1 - 0,2169
Election Day,ED-Brewers  ICP 1 - 0,655
Election Day,ED-Rocky Plains  ICP 1 - 0,595
Election Day,ED-Brick Store  ICP 1 - 0,620
Election Day,ED-Hub  ICP 1 - 0,661
Election Day,ED-Mansfield  ICP 1 - 0,722
Election Day,ED-Gum Creek  ICP 1 - 0,796
Election Day,ED-Crowell  ICP 2 - 0,248
Election Day,ED-Leguinn  ICP 1 - 0,663
Election Day,ED-Oxford  ICP 2 - 0,437
Election Day,ED-Oxford  ICP 1 - 0,289
Election Day,ED-Almon  ICP 1 - 0,591
Election Day,ED-Fairview  ICP 1 - 0,236
Election Day,ED-Stansells  ICP 1 - 0,747
Election Day,ED-Buck Creek  ICP 2 - 0,382
Election Day,ED-Buck Creek  ICP 1 - 0,122
Election Day,ED-Alcovy  ICP 1 - 0,529
Election Day,ED-Alcovy  ICP 2 - 0,227
Election Day,ED-Livingston  ICP 1 - 0,704
Election Day,ED-Covington Mills  ICP 2 - 0,61
Election Day,ED-Covington Mills  ICP 1 - 0,648
Election Day,ED-Town  ICP 1 - 0,157
Election Day,ED-Downs  ICP 2 - 0,340
Election Day,ED-Downs  ICP 1 - 0,314
Election Day,ED-Beaverdam  ICP 1 - 0,759
Absentee by Mail,ICC-Absentee by Mail - 3,48
Absentee by Mail,ICC-Absentee by Mail - 10,39
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 1,50
Election Day,ED-Town  ICP 2 - 0,352
Provisional,ICC-Provisional - 1,12
Absentee by Mail,ICC-Absentee by Mail - 12,6
Absentee by Mail,ICC-Absentee by Mail - 13,1
