Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,23
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,22
Absentee by Mail,ICC-Absentee by Mail - 6,21
Absentee by Mail,ICC-Absentee by Mail - 7,1
Absentee by Mail,ICC-Absentee by Mail - 8,1
Absentee by Mail,ICC-Absentee by Mail - 9,2
Absentee by Mail,ICC-Absentee by Mail - 10,3
Absentee by Mail,ICC-Absentee by Mail - 11,2
Absentee by Mail,ICC-Absentee by Mail - 12,1
Advance Voting,AV-Elections Office ICP 1 - 0,650
Absentee by Mail,ICC-Absentee by Mail - 13,1
Election Day,ED-Franklin ICP 1 - 0,345
Election Day,ED-Southwest ICP 1 - 0,141
Election Day,ED-Enon Grove ICP 1 - 0,134
Election Day,ED-Centralhatchee ICP 1 - 0,414
Election Day,ED-Cooksville-Corinth ICP 1 - 0,96
Election Day,ED-Ephesus ICP 1 - 0,292
Provisional,ICC-Provisional - 1,1
