Container,Batch Name,Number of Ballots
Advance Voting,AV-Fairview Rec Center  ICP 1 - 0,3406
Advance Voting,AV-Fortson Library  ICP 1 - 0,4606
Advance Voting,AV-Locust Grove Library  ICP 1 - 0,4136
Advance Voting,AV-JP Moseley Rec Center  ICP 1 - 0,4538
Absentee by Mail,ICC-Absentee by Mail - 1,49
Absentee by Mail,ICC-Absentee by Mail - 2,49
Absentee by Mail,ICC-Absentee by Mail - 3,50
Advance Voting,AV-Merle Manders Conf Center  ICP 1 - 0,3322
Advance Voting,AV-Merle Manders Conf Center  ICP 2 - 0,3321
Advance Voting,AV-Elections and Registration  ICP 1 - 0,3148
Advance Voting,AV-Elections and Registration  ICP 2 - 0,3945
Advance Voting,AV-Elections and Registration  ICP 3 - 0,612
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,49
Absentee by Mail,ICC-Absentee by Mail - 12,48
Absentee by Mail,ICC-Absentee by Mail - 13,46
Absentee by Mail,ICC-Absentee by Mail - 14,46
Absentee by Mail,ICC-Absentee by Mail - 20,49
Absentee by Mail,ICC-Absentee by Mail - 21,50
Absentee by Mail,ICC-Absentee by Mail - 22,48
Election Day,ED-Mt Bethel  ICP 1 - 0,752
Election Day,ED-McDonough Central  ICP 1 - 0,585
Election Day,ED-Timberridge  ICP 1 - 0,490
Election Day,ED-Flippen  ICP 1 - 0,579
Election Day,ED-East Lake  ICP 1 - 0,695
Election Day,ED-Oakland  ICP 1 - 0,649
Election Day,ED-Lake Haven  ICP 1 - 0,649
Election Day,ED-Tussahaw  ICP 1 - 0,456
Election Day,ED-Shiloh  ICP 1 - 0,453
Election Day,ED-Ellenwood  ICP 1 - 0,564
Election Day,ED-Stockbridge Central  ICP 1 - 0,205
Election Day,ED-Stockbridge Central  ICP 2 - 0,206
Election Day,ED-Swan Lake  ICP 1 - 0,489
Election Day,ED-Shakerag  ICP 1 - 0,551
Election Day,ED-Unity Grove  ICP 1 - 0,660
Election Day,ED-Pates Creek  ICP 1 - 0,707
Election Day,ED-Pleasant Grove  ICP 1 - 0,648
Election Day,ED-Austin Road  ICP 1 - 0,493
Election Day,ED-McMullen  ICP 1 - 0,708
Election Day,ED-Lake Dow  ICP 1 - 0,854
Absentee by Mail,ICC-Absentee by Mail - 23,18
Absentee by Mail,ICC-Absentee by Mail - 24,8
Absentee by Mail,ICC-Absentee by Mail - 25,31
Election Day,ED-Sandy Ridge  ICP 1 - 0,743
Election Day,ED-North Hampton  ICP 1 - 0,768
Election Day,ED-Lighthouse  ICP 1 - 0,590
Election Day,ED-Stockbridge East-West  ICP 2 - 0,661
Election Day,ED-Stagecoach  ICP 1 - 0,264
Election Day,ED-Stagecoach  ICP 2 - 0,60
Election Day,ED-Cotton Indian  ICP 1 - 0,696
Election Day,ED-McDonough  ICP 1 - 0,462
Election Day,ED-South Hampton  ICP 1 - 0,699
Election Day,ICC-Election Day - 2,147
Election Day,ED-Dutchtown  ICP 1 - 0,438
Election Day,ED-Westside  ICP 2 - 0,286
Election Day,ED-Westside  ICP 1 - 0,286
Election Day,ED-Kelleytown  ICP 1 - 0,722
Election Day,ED-Lowes  ICP 1 - 0,557
Election Day,ED-Lowes  ICP 2 - 0,557
Election Day,ED-Hickory Flat  ICP 1 - 0,791
Election Day,ED-Red Oak  ICP 1 - 0,906
Election Day,ED-Grove Park  ICP 1 - 0,574
Election Day,ED-Locust Grove  ICP 1 - 0,814
Election Day,ED-Mt Carmel ICP 1 - 0,1009
Election Day,ED-Wesley Lakes  ICP 1 - 0,366
Election Day,ED-Wesley Lakes  ICP 2 - 0,515
Election Day,ICC-Election Day - 3,1
Provisional,ICC-Provisional - 1,36
Absentee by Mail,ICC-Absentee by Mail - 26,4
