Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,3145
Absentee by Mail,ICC-Absentee by Mail - 6,5
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 1,50
Election Day,ED-Smith 2 ICP 1 - 0,451
Election Day,ED-Reedy Springs ICP 1 - 0,365
Election Day,ED-Minter ICP 1 - 0,185
Election Day,ED-Buckeye ICP 1 - 0,223
Election Day,ED-Brewton ICP 1 - 0,321
Election Day,ED-LCFS 10 (Valambrosia) ICP 1 - 0,394
Election Day,ED-Dudley ICP 1 - 0,424
Election Day,ED-Fire Dept Station 5 ICP 1 - 0,686
Election Day,ED-Rural Fire Station #17 ICP 1 - 0,408
Election Day,ED-Hampton Mill ICP 1 - 0,432
Election Day,ED-W T Adams Fire Station 18 ICP 1 - 0,419
Election Day,ED-Burch ICP 1 - 0,116
Election Day,ED-Calhoun Park ICP 1 - 0,803
Election Day,ED-Calhoun Park ICP 2 - 0,354
Provisional,ICC-Provisional - 1,3
,,
