Container,Batch Name,Number of Ballots
Advance Voting,AV-Location 1 ICP 2 - 0,1179
Advance Voting,AV-Location 1 ICP 1 - 0,1178
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 7,5
Absentee by Mail,ICC-Absentee by Mail - 8,19
Election Day,ED-Lifsey Springs ICP 1 - 0,214
Election Day,ED-Second District ICP 1 - 0,408
Election Day,ED-Zebulon ICP 1 - 0,246
Election Day,ED-Molena ICP 1 - 0,334
Election Day,ED-Meansville ICP 1 - 0,264
Election Day,ED-Hollonville ICP 1 - 0,336
Election Day,ED-Concord ICP 1 - 0,315
Election Day,ED-Williamson ICP 1 - 0,417
Provisional,ICC-Provisional - 1,1
