Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,44
Absentee by Mail,ICC-Absentee by Mail - 2,47
Absentee by Mail,ICC-Absentee by Mail - 3,48
Absentee by Mail,ICC-Absentee by Mail - 4,47
Absentee by Mail,ICC-Absentee by Mail - 5,46
Absentee by Mail,ICC-Absentee by Mail - 6,48
Absentee by Mail,ICC-Absentee by Mail - 7,47
Absentee by Mail,ICC-Absentee by Mail - 8,47
Absentee by Mail,ICC-Absentee by Mail - 9,43
Absentee by Mail,ICC-Absentee by Mail - 10,45
Absentee by Mail,ICC-Absentee by Mail - 11,45
Absentee by Mail,ICC-Absentee by Mail - 12,41
Absentee by Mail,ICC-Absentee by Mail - 13,49
Absentee by Mail,ICC-Absentee by Mail - 14,49
Absentee by Mail,ICC-Absentee by Mail - 15,47
Absentee by Mail,ICC-Absentee by Mail - 16,61
Absentee by Mail,ICC-Absentee by Mail - 17,45
Absentee by Mail,ICC-Absentee by Mail - 19,47
Absentee by Mail,ICC-Absentee by Mail - 20,60
Absentee by Mail,ICC-Absentee by Mail - 21,43
Absentee by Mail,ICC-Absentee by Mail - 22,48
Absentee by Mail,ICC-Absentee by Mail - 23,43
Absentee by Mail,ICC-Absentee by Mail - 24,46
Absentee by Mail,ICC-Absentee by Mail - 25,46
Absentee by Mail,ICC-Absentee by Mail - 26,45
Absentee by Mail,ICC-Absentee by Mail - 27,47
Absentee by Mail,ICC-Absentee by Mail - 28,44
Absentee by Mail,ICC-Absentee by Mail - 29,47
Absentee by Mail,ICC-Absentee by Mail - 30,45
Absentee by Mail,ICC-Absentee by Mail - 31,49
Absentee by Mail,ICC-Absentee by Mail - 32,46
Absentee by Mail,ICC-Absentee by Mail - 33,48
Absentee by Mail,ICC-Absentee by Mail - 34,47
Absentee by Mail,ICC-Absentee by Mail - 35,44
Absentee by Mail,ICC-Absentee by Mail - 36,46
Absentee by Mail,ICC-Absentee by Mail - 37,35
Absentee by Mail,ICC-Absentee by Mail - 38,4
Absentee by Mail,ICC-Absentee by Mail - 39,21
Absentee by Mail,ICC-Absentee by Mail - 40,16
Advance Voting,AV-SOUTH 1 ICP1 - 0,2158
Advance Voting,AV-SOUTH 1 ICP2 - 0,2089
Advance Voting,AV-EAST 1 ICP1 - 0,578
Advance Voting,AV-EAST 1 ICP2 - 0,577
Absentee by Mail,ICC-Absentee by Mail - 41,30
Absentee by Mail,ICC-Absentee by Mail - 42,1
Advance Voting,AV-WEST ICP1 - 0,1533
Advance Voting,AV-SOUTH 2 ICP1 - 0,2261
Advance Voting,AV-SOUTH 2 ICP2 - 0,2137
Advance Voting,AV-MAIN ICP1 - 0,2248
Advance Voting,AV-MAIN ICP2 - 0,2168
Advance Voting,AV-NORTH ICP2 - 0,1422
Advance Voting,AV-NORTH ICP1 - 0,1425
Election Day,ED-Gainesville II  ICP 1 - 0,248
Election Day,ED-Glade  ICP 1 - 0,475
Election Day,ED-Gainesville I  ICP 1 - 0,500
Election Day,ED-Oakwood I  ICP 1 - 0,376
Election Day,ED-Gillsville  ICP 1 - 0,264
Election Day,ED-Big Hickory  ICP 1 - 0,669
Election Day,ED-Fork  ICP 1 - 0,706
Election Day,ED-Morgan II  ICP 1 - 0,627
Election Day,ED-Friendship II  ICP 1 - 0,560
Election Day,ED-Lula  ICP 1 - 0,470
Election Day,ED-Chestatee  ICP 1 - 0,623
Election Day,ED-Gainesville III  ICP 1 - 0,376
Election Day,ED-Oakwood II  ICP 1 - 0,685
Election Day,ED-Candler  ICP 1 - 0,378
Election Day,ED-Candler  ICP 2 - 0,389
Election Day,ED-Gainesville IV  ICP 1 - 0,368
Election Day,ED-Chicopee  ICP 1 - 0,411
Election Day,ED-Morgan I  ICP 1 - 0,707
Election Day,ED-Friendship IV  ICP 1 - 0,511
Election Day,ED-Flowery Branch II  ICP 1 - 0,491
Election Day,ED-Tadmore  ICP 1 - 0,244
Election Day,ED-Tadmore  ICP 2 - 0,282
Election Day,ED-Friendship III  ICP 1 - 0,512
Election Day,ED-West Whelchel  ICP 1 - 0,729
Election Day,ED-Whelchel  ICP 1 - 0,646
Election Day,ED-Quillians  ICP 1 - 0,483
Election Day,ED-Bark Camp  ICP 1 - 0,423
Election Day,ED-Bark Camp  ICP 2 - 0,355
Election Day,ED-Friendship I  ICP 2 - 0,603
Election Day,ED-Friendship I  ICP 1 - 0,604
Election Day,ED-Wilson  ICP 1 - 0,415
Election Day,ED-Wilson  ICP 2 - 0,482
Election Day,ED-Gainesville V  ICP 1 - 0,155
Election Day,ED-Flowery Branch I  ICP 1 - 0,706
Election Day,ED-Clermont  ICP 1 - 0,609
Election Day,ED-Roberts  ICP 2 - 0,419
Election Day,ED-Roberts  ICP 1 - 0,519
Absentee by Mail,ICC-Absentee by Mail - 43,1
Provisional,ICC-Provisional - 1,9
