Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,24
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,1
Advance Voting,AV-Elections Office ICP 1 - 0,1839
Election Day,ED-4D ICP 1 - 0,294
Election Day,ED-5B ICP 1 - 0,183
Election Day,ED-2 ICP 1 - 0,287
Election Day,ED-4B ICP 1 - 0,252
Election Day,ED-3A1 ICP 1 - 0,209
Election Day,ED-1C ICP 1 - 0,177
Election Day,ED-3C ICP 1 - 0,247
Election Day,ED-5A ICP 1 - 0,144
Election Day,ED-1B ICP 1 - 0,260
