Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,10
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 14,9
Absentee by Mail,ICC-Absentee by Mail - 15,48
Absentee by Mail,ICC-Absentee by Mail - 16,2
Absentee by Mail,ICC-Absentee by Mail - 17,10
Advance Voting,AV-Mulberry Rock Park ICP 2 - 0,165
Advance Voting,AV-Mulberry Rock Park ICP 1 - 0,277
Advance Voting,AV-DWIC ICP 1 - 0,424
Advance Voting,AV-Dianne Wright Center ICP 2 - 0,867
Advance Voting,AV-Crossroads Library ICP 1 - 0,735
Advance Voting,AV-Crossroads Library ICP 2 - 0,647
Advance Voting,AV-Burnt Hickory Park ICP 2 - 0,402
Advance Voting,AV-Burnt Hickory Park ICP 1 - 0,74
Advance Voting,AV-Elections Office ICP 4 - 0,1718
Advance Voting,AV-Elections Office ICP 3 - 0,1327
Advance Voting,AV-Elections Office ICP 2 - 0,4368
Absentee by Mail,ICC-Absentee by Mail - 18,6
Advance Voting,AV-Elections Office ICP 1 - 0,5214
Advance Voting,AV-Hiram United Methodist Church ICP 2 - 0,354
Advance Voting,AV-Hiram United Methodist Church ICP 1 - 0,199
Election Day,ED Tabernacle BC ICP 1 - 0,501
Election Day,ED Tabernacle BC ICP 2 - 0,512
Election Day,ED-Poplar Sprgs BC ICP 2 - 0,18
Election Day,ED-Poplar Sprgs BC ICP 1 - 0,494
Election Day,ED-Hiram UMC ICP 1 - 0,81
Election Day,ED-Hiram UMC ICP 2 - 0,217
Election Day,ED-Watson ICP 2 - 0,145
Election Day,ED-Watson ICP 1 - 0,399
Election Day,ED-Airport ICP 1 - 0,150
Election Day,ED-Airport ICP 2 - 0,466
Election Day,ED-White Oak ICP 2 - 0,584
Election Day,ED-White Oak ICP 1 - 0,584
Election Day,ED-High Schoals BC ICP 1 - 0,226
Election Day,ED-Crossroads Lib ICP 2 - 0,440
Election Day,ED-Crossroads Lib ICP 1 - 0,294
Election Day,ED-Activation Church ICP 2 - 0,27
Election Day,ED-Activation Church ICP 1 - 0,404
Election Day,ED-Moses MS ICP 2 - 0,713
Election Day,ED-Moses MS ICP 1 - 0,468
Election Day,ED-Legacy BC ICP 2 - 0,563
Election Day,ED-Burnt Hickory ICP 1 - 0,99
Election Day,ED-Burnt Hickory ICP 2 - 0,399
Election Day,ED-Russom ES ICP 2 - 0,666
Election Day,ED-Russom ES ICP 1 - 0,678
Election Day,ED-D Wright IC ICP 1 - 0,264
Election Day,ED-D Wright IC ICP 2 - 0,400
Election Day,ED-Taylor Farm ICP 2 - 0,209
Election Day,ED-Taylor Farm ICP 1 - 0,110
Election Day,ED-Dobbins MS ICP 2 - 0,502
Election Day,ED-Dobbins MS ICP 1 - 0,566
Election Day,ED-Carl Scoggins MS ICP 2 - 0,522
Election Day,ED-Carl Scoggins MS ICP 1 - 0,484
Election Day,ED-S Paulding MS ICP 1 - 0,650
Election Day,ED-S Paulding MS ICP 2 - 0,519
Election Day,ED-Crossroads MS ICP 1 - 0,517
Election Day,ED-E Paulding MS ICP 1 - 0,623
Election Day,ED-E Paulding MS ICP 2 - 0,475
Election Day,ED-Crossroads MS ICP 2 - 0,703
Provisional,ICC-Provisional - 1,35
Absentee by Mail,ICC-Absentee by Mail - 19,1
