Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,49
Absentee by Mail,ICC-Absentee by Mail - 3,49
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,49
Advance Voting,AV-South Walton  ICP 2 - 0,445
Advance Voting,AV-South Walton  ICP 1 - 0,570
Advance Voting,AV-Meridian Park  ICP 1 - 0,2146
Advance Voting,AV-Meridian Park  ICP 2 - 0,2419
Advance Voting,AV-Felker  ICP 1 - 0,2098
Advance Voting,AV-Felker  ICP 2 - 0,2174
Absentee by Mail,ICC-Absentee by Mail - 6,42
Election Day,ED-South Monroe  ICP 2 - 0,350
Election Day,ED-South Monroe  ICP 1 - 0,417
Election Day,ED-Central Monroe  ICP 2 - 0,440
Election Day,ED-Central Monroe  ICP 1 - 0,556
Election Day,ED-Between  ICP 1 - 0,887
Election Day,ED-Good Hope  ICP 1 - 0,715
Election Day,ED-West Walton  ICP 1 - 0,710
Election Day,ED-Walker Park  ICP 1 - 0,782
Election Day,ED-Gratis  ICP 1 - 0,791
Election Day,ED-Social Circle  ICP 2 - 0,364
Election Day,ED-Social Circle  ICP 1 - 0,368
Election Day,ED-Tara  ICP 1 - 0,109
Election Day,Election Day Central  ICP 1 - 0,389
Election Day,ICC-Election Day - 1,79
Election Day,ED-Ag Center  ICP 1 - 0,572
Election Day,ED-Jersey  ICP 1 - 0,515
Election Day,ED-Bay Creek  ICP 1 - 0,465
Election Day,ED-Loganville Central  ICP 2 - 0,480
Election Day,ED-Loganville Central  ICP 1 - 0,475
Election Day,ED-Bold Springs  ICP 1 - 0,834
Election Day,ED-Walnut Grove  ICP 1 - 0,948
Absentee by Mail,ICC-Absentee by Mail - 7,4
Absentee by Mail,ICC-Absentee by Mail - 8,3
Provisional,ICC-Provisional - 1,3
