Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,5431
Absentee by Mail,Absentee By Mail ICC - 1,50
Election Day,ED-Albany Middle School ICP 1 - 0,234
Election Day,ED-Westtown Elementary School ICP 1 - 0,514
Election Day,ED-Lamar Reese School ICP 1 - 0,219
Election Day,ED-Litman Cathedral ICP 1 - 0,187
Election Day,ED-Robert H. Harvey Elementary School - 0,267
Election Day,ED-Shiloh Baptist Church ICP 1 - 0,151
Absentee by Mail,Absentee By Mail ICC - 2,50
Election Day,ED-ASU East Campus ICP 1 - 0,178
Election Day,ED-Merry Acres Middle School ICP 1 - 0,454
Election Day,ED-Christ Church ICP 1 - 0,579
Election Day,ED-Pine Bluff Baptist Church ICP 1 - 0,395
Absentee by Mail,Absentee By Mail ICC - 3,50
Election Day,ED-Radium Middle School ICP 1 - 0,121
Election Day,ED-Turner Elementary School ICP 1 - 0,297
Election Day,ED-Alice Coachman Elementary ICP 1 - 0,154
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 5,44
Election Day,ED-2nd Mt. Zion Church ICP 1 - 0,330
Election Day,ED-Sherwood Elem School ICP 1 - 0,487
Election Day,ED-International Studies ICP 1 - 0,245
Election Day,ED-First Mount Olive ICP 1 - 0,504
Election Day,ED-ASU West Campus ICP 1 - 0,557
Election Day,ED-Putney 1st Baptist Church ICP 1 - 0,511
Election Day,ED-Greenbriar Church ICP 1 - 0,899
Election Day,ED-Albany High School ICP 1 - 0,424
Election Day,ED-Westover High School ICP 1 - 1,996
Election Day,ED-Albany High School ICP 2 - 1,9
Election Day,ED-Westover High School ICP 1 - 2,19
Election Day,ED-Covenant Church ICP 1 - 0,380
Absentee by Mail,Absentee By Mail ICC - 6,1
Provisional,Provisional ICC - 1,18
