Container,Batch Name,Number of Ballots
Advance Voting,AV-County Admin Building ICP 2 - 0,1684
Advance Voting,AV-County Admin Building ICP 1 - 0,1684
Election Day,ED-High Falls ICP 1 - 0,398
Election Day,ED-Kelseys ICP 1 - 0,219
Election Day,ED-Russellville ICP 1 - 0,149
Election Day,ED-Dillards ICP 1 - 0,244
Election Day,ED-Brantleys ICP 1 - 0,286
Election Day,ED-Cox ICP 1 - 0,208
Election Day,ED-Culloden ICP 1 - 0,137
Election Day,ED-Proctors ICP 1 - 0,329
Election Day,ED-Cabaniss ICP 1 - 0,205
Election Day,ED-Evers ICP 1 - 0,500
Election Day,ED-Forsyth ICP 1 - 0,333
Election Day,ED-Forsyth ICP 2 - 0,334
Election Day,ED-Bentons ICP 1 - 0,657
Election Day,ED-Middlebrooks ICP 1 - 0,227
Election Day,ED-Burgays ICP 1 - 0,790
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,24
Absentee by Mail,ICC-Absentee by Mail - 4,21
Absentee by Mail,ICC-Absentee by Mail - 5,6
