Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 4,16
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 5,2
Absentee by Mail,ICC-Absentee by Mail - 7,1
Absentee by Mail,ICC-Absentee by Mail - 6,70
Advance Voting,AV-Kingsland Advance ICP 1 - 0,3153
Advance Voting,AV-St. Marys Welcome Center ICP 1 - 0,446
Advance Voting,AV-Elections Office ICP 1 - 0,306
Absentee by Mail,ICC-Absentee by Mail - 8,1
Election Day,ED-Woodbine ICP 1 - 0,308
Election Day,ED-West Kingsland ICP 1 - 0,267
Election Day,ED-Historic Kingsland ICP 1 - 0,339
Election Day,ED-St. Marys ICP 1 - 0,489
Election Day,ED-West Saint Marys ICP 1 - 0,463
Election Day,ED-South St. Marys ICP 1 - 0,316
Election Day,ED-North St. Marys ICP 1 - 0,196
Election Day,ED-Waverly ICP 1 - 0,382
Election Day,ED-East Kingsland ICP 1 - 0,631
Election Day,ED-Harrietts Bluff ICP 1 - 0,322
Election Day,ED-Tarboro ICP 1 - 0,160
Provisional,ICC-Provisional - 1,2
