Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 3,13
Absentee by Mail,ICC-Absentee by Mail - 2,25
Advance Voting,AV-Richmond Hill ICP 1 - 0,3856
Advance Voting,AV-Pembroke ICP 1 - 0,851
Absentee by Mail,ICC-Absentee by Mail - 4,19
Absentee by Mail,ICC-Absentee by Mail - 5,3
Election Day,ED-Lanier ICP 1 - 0,191
Election Day,ED-Harn Community Center ICP 1 - 0,336
Election Day,ED-First Baptist Church ICP 1 - 0,374
Election Day,ED-Timber Trail ICP 1 - 0,340
Election Day,ED-Wetlands Center ICP 1 - 0,447
Election Day,ED-New Beginnings ICP 1 - 0,585
Election Day,ED-Spirit of Peace Lutheran Church ICP 1 - 0,647
Election Day,ED-Devaul Henderson Park Gym ICP 1 - 0,574
Election Day,ED-Daniel Siding ICP 1 - 0,348
Election Day,ED-Olive Branch Baptist ICP 1 - 0,373
Provisional,ICC-Provisional - 1,2
