Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,2596
Absentee by Mail,ICC - Absentee By Mail - 1,25
Absentee by Mail,ICC - Absentee By Mail - 2,25
Absentee by Mail,ICC - Absentee By Mail - 3,25
Absentee by Mail,ICC - Absentee By Mail - 4,25
Absentee by Mail,ICC - Absentee By Mail - 5,25
Absentee by Mail,ICC - Absentee By Mail - 6,25
Absentee by Mail,ICC - Absentee By Mail - 7,25
Absentee by Mail,ICC - Absentee By Mail - 8,7
Election Day,ED-Colwell ICP 1 - 0,248
Election Day,ED-Flinthill ICP 1 - 0,562
Election Day,ED-Hemptown ICP 1 - 0,317
Election Day,ED-Hothouse ICP 1 - 0,203
Election Day,ED-Morganton ICP 1 - 0,438
Election Day,ED-Skeniah ICP 1 - 0,74
Election Day,ED-Mobile ICP 1 - 0,221
Election Day,ED-Sugar Creek ICP 1 - 0,323
Election Day,ED-Noontootla ICP 1 - 0,245
Election Day,ED-Toccoa ICP 1 - 0,497
Election Day,ED-Mineral Bluff ICP 1 - 0,367
Election Day,ICC - Election Day - 1,51
Election Day,ICC - Election Day - 2,50
Election Day,ICC - Election Day - 3,23
Election Day,ICC - Election Day - 4,26
Election Day,ICC - Election Day - 5,20
Election Day,ICC - Election Day - 6,30
Election Day,ICC - Election Day - 7,3
Provisional,ICC - Provisional - 1,5
