Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 3,25
Absentee by Mail,ICC - Absentee By Mail - 4,25
Absentee by Mail,ICC - Absentee By Mail - 2,28
Absentee by Mail,ICC - Absentee By Mail - 5,28
Absentee by Mail,ICC - Absentee By Mail - 1,28
Advance Voting,AV-Elections Office ICP 1 - 0,2381
Advance Voting,AV-Elections Office ICP 2 - 0,2324
Election Day,ED-Dahlonega ICP 1 - 0,366
Election Day,ED-Dahlonega ICP 2 - 0,516
Election Day,ED-Dahlonega ICP 3 - 0,501
Election Day,ED-Dahlonega ICP 4 - 0,527
Election Day,ED-Dahlonega ICP 5 - 0,517
Election Day,ED-Dahlonega ICP 6 - 0,473
Absentee by Mail,ICC - Absentee By Mail - 6,3
Provisional,ICC - Provisional - 1,2
