Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Advance Voting,AV-Elections Office ICP 1 - 0,1849
Advance Voting,AV-Elections Office ICP 2 - 0,2017
Election Day,ED-North Milledgeville ICP 1 - 0,289
Absentee by Mail,ICC-Absentee by Mail - 5,59
Election Day,ED-East Milledgeville ICP 1 - 0,128
Election Day,ED-City Hall Annex ICP 1 - 0,92
Election Day,ED-Courthouse ICP 1 - 0,35
Election Day,ED-Scottsboro ICP 1 - 0,165
Election Day,ED-West Baldwin ICP 1 - 0,327
Election Day,ED-East Hardwick ICP 1 - 0,100
Election Day,ED-West Thomas ICP 1 - 0,176
Election Day,ED-South Milledgeville ICP 1 - 0,179
Election Day,ED-East Baldwin ICP 1 - 0,656
Election Day,ED-West Hardwick ICP 1 - 0,393
Election Day,ED-Coopers ICP 1 - 0,320
Election Day,ED-Meriwether1 ICP 1 - 0,525
Election Day,ED-North Baldwin ICP 1 - 0,639
Provisional,ICC-Provisional - 1,2
